Treadmil_v,Period,X,Y
0.5,1,-9.564597129821777,22.249937057495117
0.5,1,-9.938497543334961,18.69502067565918
0.5,1,-10.223565101623535,14.253377914428711
0.5,1,-10.324448585510254,5.0441741943359375
0.5,1,-10.162026405334473,-8.121109008789062
0.5,2,-5.156148910522461,-76.68232917785645
0.5,2,-3.6658992767333984,-74.51248168945312
0.5,2,-2.4054441452026367,-63.022756576538086
0.5,2,-1.7242803573608398,-34.058189392089844
0.5,2,-1.4642658233642578,-13.000726699829102
0.5,2,-1.3158140182495117,-7.422590255737305
0.5,2,-1.199357032775879,-5.822849273681641
0.5,2,-0.6669168472290039,-26.62200927734375
0.5,2,0.2059326171875,-43.642473220825195
0.5,2,0.08134937286376953,6.229162216186523
0.5,2,-0.23519563674926758,15.827250480651855
0.5,2,-0.01803731918334961,-10.857915878295898
0.5,2,0.32937002182006836,-17.3703670501709
0.5,2,0.5845279693603516,-12.75789737701416
0.5,2,1.233372688293457,-32.44223594665527
0.5,2,2.317999839782715,-54.23135757446289
0.5,2,2.861807346343994,-27.190375328063965
0.5,2,2.9407663345336914,-3.9479494094848633
0.5,2,3.2077863216400146,-13.350999355316162
0.5,2,3.606661081314087,-19.943737983703613
0.5,2,3.9628424644470215,-17.80906915664673
0.5,2,4.293863773345947,-16.55106544494629
0.5,2,4.665802717208862,-18.596947193145752
0.5,2,5.077134609222412,-20.56659460067749
0.5,2,5.455157279968262,-18.90113353729248
0.5,2,5.816965341567993,-18.090403079986572
0.5,2,6.18261182308197,-18.282324075698853
0.5,2,6.479403138160706,-14.839565753936768
0.5,2,6.774220705032349,-14.740878343582153
0.5,2,7.078596234321594,-15.21877646446228
0.5,2,7.394495844841003,-15.794980525970459
0.5,2,7.700546711683273,-15.302543342113495
0.5,2,7.984951165504754,-14.220222691074014
0.5,2,8.28741067647934,-15.1229755487293
0.5,2,8.604122042655945,-15.835568308830261
0.5,2,8.893516063690186,-14.469701051712036
0.5,2,9.152923107147217,-12.970352172851562
0.5,2,9.443005084991455,-14.504098892211914
0.5,2,9.781583309173584,-16.928911209106445
0.5,2,10.109399795532227,-16.39082431793213
0.5,2,10.443280220031738,-16.694021224975586
0.5,2,10.798033237457275,-17.737650871276855
0.5,2,11.16019344329834,-18.108010292053223
0.5,2,11.39843487739563,-11.912071704864502
0.5,2,11.507779121398926,-5.467212200164795
0.5,2,11.526008129119873,-0.9114503860473633
0.5,2,11.323649168014526,10.117948055267334
0.5,2,10.844686269760132,23.948144912719727
0.5,2,10.102200746536255,37.12427616119385
0.5,2,9.160783290863037,47.07087278366089
0.5,2,8.014515161514282,57.313406467437744
0.5,2,6.675922751426697,66.92962050437927
0.5,2,5.16624641418457,75.48381686210632
0.5,2,3.2252041399478912,97.05211371183395
0.5,2,0.941236138343811,114.19840008020401
0.5,2,-1.1664708852767944,105.38535118103027
0.5,2,-3.0922791957855225,96.2904155254364
0.5,2,-4.730096340179443,81.89085721969604
0.5,2,-6.029788970947266,64.98463153839111
0.5,2,-6.975696086883545,47.295355796813965
0.5,2,-7.677945137023926,35.11245250701904
0.5,2,-8.129961967468262,22.600841522216797
0.5,2,-8.563401222229004,21.67196273803711
0.5,2,-9.07684326171875,25.672101974487305
0.5,2,-9.542065620422363,23.261117935180664
0.5,2,-9.985187530517578,22.156095504760742
0.5,2,-10.419126510620117,21.696949005126953
0.5,2,-10.739752769470215,16.031312942504883
0.5,2,-10.887279510498047,7.376337051391602
0.5,2,-10.824448585510254,-3.1415462493896484
0.5,2,-10.393845558166504,-21.5301513671875
0.5,2,-9.700089454650879,-34.68780517578125
0.5,3,-6.189733505249023,-61.86833381652832
0.5,3,-4.890466690063477,-64.96334075927734
0.5,3,-3.4946393966674805,-69.7913646697998
0.5,3,-2.282547950744629,-60.60457229614258
0.5,3,-1.6007623672485352,-34.08927917480469
0.5,3,-1.37115478515625,-11.480379104614258
0.5,3,-1.1328296661376953,-11.916255950927734
0.5,3,-0.8899993896484375,-12.14151382446289
0.5,3,-0.4076576232910156,-24.117088317871094
0.5,3,0.5390567779541016,-47.33572006225586
0.5,3,0.7125144004821777,-8.672881126403809
0.5,3,0.23784780502319336,23.73332977294922
0.5,3,0.3704495429992676,-6.630086898803711
0.5,3,0.7825107574462891,-20.603060722351074
0.5,3,1.0397353172302246,-12.861227989196777
0.5,3,1.5897417068481445,-27.500319480895996
0.5,3,2.625004291534424,-51.763129234313965
0.5,3,3.142801284790039,-25.88984966278076
0.5,3,3.169022560119629,-1.3110637664794922
0.5,3,3.5067362785339355,-16.885685920715332
0.5,3,3.8907670974731445,-19.20154094696045
0.5,3,4.068983316421509,-8.910810947418213
0.5,3,4.353331565856934,-14.21741247177124
0.5,3,4.744115352630615,-19.539189338684082
0.5,3,5.064230918884277,-16.005778312683105
0.5,3,5.409898996353149,-17.283403873443604
0.5,3,5.759479761123657,-17.47903823852539
0.5,3,6.012067914009094,-12.62940764427185
0.5,3,6.270715117454529,-12.932360172271729
0.5,3,6.553444266319275,-14.136457443237305
0.5,3,6.835615277290344,-14.108550548553467
0.5,3,7.114828407764435,-13.960656523704529
0.5,3,7.383427679538727,-13.4299635887146
0.5,3,7.636274695396423,-12.642350792884827
0.5,3,7.865763511508703,-11.474440805613995
0.5,3,8.06357017159462,-9.890333004295826
0.5,3,8.24216890335083,-8.929936587810516
0.5,3,8.461957573890686,-10.989433526992798
0.5,3,8.72413682937622,-13.108962774276733
0.5,3,9.001132249832153,-13.84977102279663
0.5,3,9.275055050849915,-13.696140050888062
0.5,3,9.58537244796753,-15.515869855880737
0.5,3,9.951598167419434,-18.311285972595215
0.5,3,10.310417652130127,-17.940974235534668
0.5,3,10.598896503448486,-14.423942565917969
0.5,3,10.785962343215942,-9.353291988372803
0.5,3,10.785240173339844,0.03610849380493164
