Treadmil_v,Period,X,Y
0.5,2,11.173456192016602,-32.72063732147217
0.5,2,11.796630859375,-31.158733367919922
0.5,2,12.378241062164307,-29.080510139465332
0.5,2,13.000536680221558,-31.11478090286255
0.5,2,13.620540142059326,-31.000173091888428
0.5,2,14.14428162574768,-26.187074184417725
0.5,2,14.601331233978271,-22.85248041152954
0.5,2,14.931212663650513,-16.49407148361206
0.5,2,15.156725406646729,-11.275637149810791
0.5,2,15.271708011627197,-5.7491302490234375
0.5,2,15.22633409500122,2.268695831298828
0.5,2,15.045830965042114,9.025156497955322
0.5,2,14.746726989746094,14.955198764801025
0.5,2,14.251945734024048,24.739062786102295
0.5,2,13.515535831451416,36.82049512863159
0.5,2,12.590125322341919,46.27052545547485
0.5,2,11.343198776245117,62.34632730484009
0.5,2,9.71607518196106,81.35617971420288
0.5,2,7.793061852455139,96.15066647529602
0.5,2,5.212536573410034,129.02626395225525
0.5,2,2.695631504058838,125.84525346755981
0.5,2,0.2517803907394409,122.19255566596985
0.5,2,-2.412447929382324,133.21141600608826
0.5,2,-5.10287880897522,134.52154397964478
0.5,2,-7.697531461715698,129.73263263702393
0.5,2,-10.063292980194092,118.28807592391968
0.5,2,-12.101154804229736,101.89309120178223
0.5,2,-13.900394201278687,89.96196985244751
0.5,2,-15.440860748291016,77.02332735061646
0.5,2,-16.699925422668457,62.95323371887207
0.5,2,-17.609439849853516,45.47572135925293
0.5,2,-18.146348237991333,26.84541940689087
0.5,2,-18.29508066177368,7.436621189117432
0.5,2,-18.06250786781311,-11.628639698028564
0.5,2,-17.678649187088013,-19.192934036254883
0.5,2,-17.35315203666687,-16.27485752105713
0.5,2,-16.86624312400818,-24.34544563293457
0.5,2,-16.076268672943115,-39.498722553253174
0.5,2,-15.076144933700562,-50.006186962127686
0.5,3,-13.361931562423706,-34.45826768875122
0.5,3,-13.074580430984497,-14.36755657196045
0.5,3,-12.89276385307312,-9.090828895568848
0.5,3,-12.687374591827393,-10.269463062286377
0.5,3,-12.300309658050537,-19.353246688842773
0.5,3,-11.476893901824951,-41.1707878112793
0.5,3,-10.253902912139893,-61.14954948425293
0.5,3,-9.346045970916748,-45.39284706115723
0.5,3,-9.616880893707275,13.541746139526367
0.5,3,-9.941157341003418,16.21382236480713
0.5,3,-8.070048809051514,-93.55542659759521
0.5,3,-6.526276588439941,-77.18861103057861
0.5,3,-6.598008155822754,3.586578369140625
0.5,3,-5.284608364105225,-65.66998958587646
0.5,3,-3.499246597290039,-89.26808834075928
0.5,3,-2.0094218254089355,-74.49123859405518
0.5,3,-0.8723516464233398,-56.853508949279785
0.5,3,0.32512855529785156,-59.87401008605957
0.5,3,1.7133774757385254,-69.41244602203369
0.5,3,2.863903045654297,-57.526278495788574
0.5,3,3.870208263397217,-50.315260887145996
0.5,3,4.727004528045654,-42.839813232421875
0.5,3,5.3372297286987305,-30.51126003265381
0.5,3,5.747528076171875,-20.514917373657227
0.5,3,6.225259780883789,-23.886585235595703
0.5,3,6.7415385246276855,-25.813937187194824
0.5,3,7.336433410644531,-29.744744300842285
0.5,3,7.977490425109863,-32.0528507232666
0.5,3,8.59259033203125,-30.754995346069336
0.5,3,9.116076946258545,-26.174330711364746
0.5,3,9.687676906585693,-28.579998016357422
0.5,3,10.26817798614502,-29.02505397796631
